datetime_et,open,high,low,close,volume,vwap,transactions,ret_log,rv_5m
2024-03-11 09:49:00-04:00,40.65,40.65,40.65,40.65,2,40.65,1,,
2024-03-11 09:52:00-04:00,40.41,40.41,40.41,40.41,6,40.41,2,-0.0059215569034374305,
2024-03-11 10:02:00-04:00,39.49,39.49,39.49,39.49,1,39.49,1,-0.0230298037918244,
2024-03-11 10:15:00-04:00,39.15,39.17,39.15,39.17,27,39.1581,3,-0.008136327620817951,
2024-03-11 10:26:00-04:00,39.15,39.15,39.15,39.15,1,39.15,1,-0.0005107252409279894,
2024-03-11 10:30:00-04:00,39.88,39.92,39.88,39.92,26,39.8892,3,0.019477029006451207,0.015375102516632976
2024-03-11 10:32:00-04:00,40.02,40.02,40.02,40.02,2,40.02,1,0.002501877712324241,0.015521247811733311
2024-03-11 11:02:00-04:00,41.24,41.24,41.24,41.24,1,41.24,1,0.03002932999317176,0.015634872283546056
2024-03-11 12:24:00-04:00,41.25,41.25,41.25,41.25,1,41.25,1,0.0002424536319307613,0.013713948529770998
2024-03-11 13:24:00-04:00,41.41,41.41,41.41,41.41,1,41.41,1,0.0038712847767858882,0.012966159050988264
2024-03-11 13:39:00-04:00,41.34,41.34,41.34,41.34,1,41.34,1,-0.001691843303853524,0.01305358318684306
2024-03-11 15:22:00-04:00,41.58,41.58,41.46,41.46,2,41.52,2,0.0028985527540110745,0.013020645840550644
2024-03-11 15:43:00-04:00,41.86,41.86,41.86,41.86,1,41.86,1,0.009601610010220085,0.004300201274296023
2024-03-12 09:30:00-04:00,43.75,43.75,43.75,43.75,25,43.75,1,0.04416089578576976,0.018548487340318127
2024-03-12 09:37:00-04:00,42.15,42.15,42.15,42.15,6,42.15,1,-0.03725692835575867,0.029064468266042656
2024-03-12 09:44:00-04:00,41.77,41.77,41.77,41.77,4,41.77,1,-0.009056305938780707,0.029578104798382143
2024-03-12 09:48:00-04:00,41.24,41.24,41.24,41.24,1,41.24,1,-0.012769719360324672,0.030289747929829972
2024-03-12 09:49:00-04:00,41.5,41.5,41.5,41.5,1,41.5,1,0.006284768087893244,0.030032996819630366
2024-03-12 10:01:00-04:00,43.63,43.63,43.63,43.63,10,43.63,2,0.05005155989886578,0.03231218534864437
2024-03-12 10:13:00-04:00,43.8,43.8,43.8,43.8,1,43.8,1,0.0038888302468822467,0.025049768894596768
2024-03-12 10:15:00-04:00,44.02,44.02,44.02,44.02,2,44.02,1,0.005010258715915317,0.023438315314641998
2024-03-12 10:30:00-04:00,45.42,45.42,45.42,45.42,1,45.42,1,0.03130846057909675,0.020621337841524465
2024-03-12 10:32:00-04:00,45.85,45.85,45.85,45.85,1,45.85,1,0.009422662025061257,0.020168660666723518
2024-03-12 10:52:00-04:00,46.71,46.71,46.71,46.71,1,46.71,1,0.018583075811542837,0.011445000526235089
2024-03-12 11:33:00-04:00,46.32,46.32,46.32,46.32,10,46.32,1,-0.00838444124927662,0.014865071831046031
2024-03-12 12:04:00-04:00,45.5,45.5,45.5,45.5,1,45.5,1,-0.0178615073078352,0.019905824767623564
2024-03-12 12:33:00-04:00,45.28,45.28,45.28,45.28,1,45.28,1,-0.004846892061977304,0.014534750484348154
2024-03-12 12:39:00-04:00,44.85,44.86,44.85,44.86,5,44.852,2,-0.009318904802865458,0.01369031766414859
2024-03-12 12:45:00-04:00,44.4,44.4,44.4,44.4,2,44.4,1,-0.010307059653882789,0.004780760629865581
2024-03-12 13:04:00-04:00,44.36,44.38,44.36,44.38,11,44.3618,2,-0.00045055193373144675,0.0065133797893990155
2024-03-12 13:09:00-04:00,44.09,44.09,44.09,44.09,1,44.09,1,-0.006555918134601324,0.0039231137904627185
2024-03-12 13:39:00-04:00,45.68,45.68,45.68,45.68,1,45.68,1,0.035427565977908415,0.019208735569596343
2024-03-12 13:54:00-04:00,45.6,45.6,45.6,45.6,2,45.6,1,-0.0017528488274143328,0.018398816250369567
