datetime_et,open,high,low,close,volume,vwap,transactions,ret_log
2024-03-11 09:49:00-04:00,40.65,40.65,40.65,40.65,2,40.65,1,
2024-03-11 09:52:39-04:00,40.41,40.41,40.41,40.41,6,40.41,2,-0.0059215569034374305
2024-03-11 10:02:52-04:00,39.49,39.49,39.49,39.49,1,39.49,1,-0.0230298037918244
2024-03-11 10:15:24-04:00,39.15,39.17,39.15,39.17,27,39.1581,3,-0.008136327620817951
2024-03-11 10:26:27-04:00,39.15,39.15,39.15,39.15,1,39.15,1,-0.0005107252409279894
2024-03-11 10:30:51-04:00,39.88,39.92,39.88,39.92,26,39.8892,3,0.019477029006451207
2024-03-11 10:32:31-04:00,40.02,40.02,40.02,40.02,2,40.02,1,0.002501877712324241
2024-03-11 11:02:40-04:00,41.24,41.24,41.24,41.24,1,41.24,1,0.03002932999317176
2024-03-11 12:24:00-04:00,41.25,41.25,41.25,41.25,1,41.25,1,0.0002424536319307613
2024-03-11 13:24:51-04:00,41.41,41.41,41.41,41.41,1,41.41,1,0.0038712847767858882
2024-03-11 13:39:16-04:00,41.34,41.34,41.34,41.34,1,41.34,1,-0.001691843303853524
2024-03-11 15:22:06-04:00,41.58,41.58,41.46,41.46,2,41.52,2,0.0028985527540110745
2024-03-11 15:43:29-04:00,41.86,41.86,41.86,41.86,1,41.86,1,0.009601610010220085
2024-03-12 09:30:00-04:00,43.75,43.75,43.75,43.75,25,43.75,1,0.04416089578576976
2024-03-12 09:37:35-04:00,42.15,42.15,42.15,42.15,6,42.15,1,-0.03725692835575867
2024-03-12 09:44:56-04:00,41.77,41.77,41.77,41.77,4,41.77,1,-0.009056305938780707
2024-03-12 09:48:57-04:00,41.24,41.24,41.24,41.24,1,41.24,1,-0.012769719360324672
2024-03-12 09:49:41-04:00,41.5,41.5,41.5,41.5,1,41.5,1,0.006284768087893244
2024-03-12 10:01:21-04:00,43.63,43.63,43.63,43.63,10,43.63,2,0.05005155989886578
2024-03-12 10:13:59-04:00,43.8,43.8,43.8,43.8,1,43.8,1,0.0038888302468822467
2024-03-12 10:15:48-04:00,44.02,44.02,44.02,44.02,2,44.02,1,0.005010258715915317
2024-03-12 10:30:06-04:00,45.42,45.42,45.42,45.42,1,45.42,1,0.03130846057909675
2024-03-12 10:32:24-04:00,45.85,45.85,45.85,45.85,1,45.85,1,0.009422662025061257
2024-03-12 10:52:30-04:00,46.71,46.71,46.71,46.71,1,46.71,1,0.018583075811542837
2024-03-12 11:33:09-04:00,46.32,46.32,46.32,46.32,10,46.32,1,-0.00838444124927662
2024-03-12 12:04:56-04:00,45.5,45.5,45.5,45.5,1,45.5,1,-0.0178615073078352
2024-03-12 12:33:32-04:00,45.28,45.28,45.28,45.28,1,45.28,1,-0.004846892061977304
2024-03-12 12:39:49-04:00,44.85,44.86,44.85,44.86,5,44.852,2,-0.009318904802865458
2024-03-12 12:45:13-04:00,44.4,44.4,44.4,44.4,2,44.4,1,-0.010307059653882789
2024-03-12 13:04:41-04:00,44.36,44.36,44.36,44.36,10,44.36,1,-0.0009013069560128706
2024-03-12 13:04:54-04:00,44.38,44.38,44.38,44.38,1,44.38,1,0.00045075502228142383
2024-03-12 13:09:35-04:00,44.09,44.09,44.09,44.09,1,44.09,1,-0.006555918134601324
2024-03-12 13:39:39-04:00,45.68,45.68,45.68,45.68,1,45.68,1,0.035427565977908415
2024-03-12 13:54:08-04:00,45.6,45.6,45.6,45.6,2,45.6,1,-0.0017528488274143328
2024-03-12 14:29:22-04:00,46.63,46.63,46.63,46.63,1,46.63,1,0.022336394299888873
2024-03-12 14:37:16-04:00,47.06,47.06,47.06,47.06,2,47.06,1,0.009179272478986977
2024-03-12 15:08:11-04:00,47.06,47.06,47.05,47.05,3,47.0533,3,-0.00021251726782800517
2024-03-12 15:30:02-04:00,47.4,47.4,47.4,47.4,1,47.4,1,0.007411362669642596
2024-03-12 15:44:21-04:00,47.18,47.18,47.18,47.18,1,47.18,1,-0.004652154721501933
2024-03-13 10:17:04-04:00,46.6,46.6,46.6,46.6,2,46.6,2,-0.012369532847928966
2024-03-13 10:19:23-04:00,46.65,46.65,46.65,46.65,4,46.65,1,0.0010723861617525365
2024-03-13 10:32:55-04:00,46.7,46.7,46.7,46.7,1,46.7,1,0.0010712373814989462
2024-03-13 10:39:19-04:00,46.6,46.6,46.6,46.6,1,46.6,1,-0.0021436235432514827
2024-03-13 10:42:40-04:00,46.66,46.66,46.66,46.66,25,46.66,1,0.0012867254616839574
2024-03-13 11:28:18-04:00,46.4,46.4,46.4,46.4,30,46.4,1,-0.00558780736107467
2024-03-13 11:29:55-04:00,46.29,46.29,46.29,46.29,1,46.29,1,-0.00237350418903004
2024-03-13 12:05:09-04:00,46.6,46.6,46.6,46.6,297,46.6,1,0.006674586088420753
2024-03-13 12:09:36-04:00,46.44,46.44,46.44,46.44,1,46.44,1,-0.003439384301909598
2024-03-13 12:38:38-04:00,46.54,46.54,46.54,46.54,5,46.54,1,0.002151001044455203
