datetime_et,price,size,exchange,conditions,dt_diff_s
2024-03-11 09:49:00.129000-04:00,40.65,2,312,[232],
2024-03-11 09:52:39.352000-04:00,40.41,3,302,[233],219.223
2024-03-11 10:02:52.750000-04:00,39.49,1,308,[232],613.398
2024-03-11 10:15:24.413000-04:00,39.15,8,302,[233],751.663
2024-03-11 10:15:24.579000-04:00,39.17,11,302,[232],0.166
2024-03-11 10:26:27.598000-04:00,39.15,1,301,[232],663.019
2024-03-11 10:30:51.240000-04:00,39.88,10,302,[233],263.642
2024-03-11 10:30:51.939000-04:00,39.92,6,308,[232],0.699
2024-03-11 10:32:31.895000-04:00,40.02,2,302,[233],99.956
2024-03-11 11:02:40.512000-04:00,41.24,1,315,[209],1808.617
2024-03-11 12:24:00.036000-04:00,41.25,1,303,[209],4879.524
2024-03-11 13:24:51.435000-04:00,41.41,1,304,[233],3651.399
2024-03-11 13:39:16.514000-04:00,41.34,1,300,[232],865.079
2024-03-11 15:22:06.522000-04:00,41.58,1,304,[233],6170.008
2024-03-11 15:22:06.788000-04:00,41.46,1,308,[233],0.266
2024-03-11 15:43:29.167000-04:00,41.86,1,322,[232],1282.379
2024-03-12 09:30:00.332000-04:00,43.75,25,308,[232],63991.165
2024-03-12 09:37:35.833000-04:00,42.15,6,302,[227],455.501
2024-03-12 09:44:56.914000-04:00,41.77,4,308,[232],441.081
2024-03-12 09:48:57.429000-04:00,41.24,1,312,[233],240.515
2024-03-12 09:49:41.389000-04:00,41.5,1,313,[209],43.96
2024-03-12 10:01:21.086000-04:00,43.63,5,312,[233],699.697
2024-03-12 10:13:59.293000-04:00,43.8,1,303,[209],758.207
2024-03-12 10:15:48.126000-04:00,44.02,2,308,[232],108.833
2024-03-12 10:30:06.495000-04:00,45.42,1,302,[233],858.369
2024-03-12 10:32:24.379000-04:00,45.85,1,308,[209],137.884
2024-03-12 10:52:30.167000-04:00,46.71,1,300,[227],1205.788
2024-03-12 11:33:09.373000-04:00,46.32,10,300,[209],2439.206
2024-03-12 12:04:56.618000-04:00,45.5,1,325,[209],1907.245
2024-03-12 12:33:32.752000-04:00,45.28,1,312,[233],1716.134
2024-03-12 12:39:49.261000-04:00,44.85,4,302,[233],376.509
2024-03-12 12:39:49.270000-04:00,44.86,1,308,[233],0.009
2024-03-12 12:45:13.481000-04:00,44.4,2,313,[209],324.211
2024-03-12 13:04:41.429000-04:00,44.36,10,308,[232],1167.948
2024-03-12 13:04:54.503000-04:00,44.38,1,312,[233],13.074
2024-03-12 13:09:35.585000-04:00,44.09,1,312,[233],281.082
2024-03-12 13:39:39.985000-04:00,45.68,1,302,[233],1804.4
2024-03-12 13:54:08.233000-04:00,45.6,2,313,[209],868.248
2024-03-12 14:29:22.208000-04:00,46.63,1,322,[232],2113.975
2024-03-12 14:37:16.478000-04:00,47.06,2,304,[232],474.27
2024-03-12 15:08:11.485000-04:00,47.06,1,313,[232],1855.007
2024-03-12 15:08:11.585000-04:00,47.05,1,304,[232],0.1
2024-03-12 15:08:11.585000-04:00,47.05,1,322,[232],0.0
2024-03-12 15:30:02.462000-04:00,47.4,1,302,[209],1310.877
2024-03-12 15:44:21.251000-04:00,47.18,1,312,[233],858.789
2024-03-13 10:17:04.367000-04:00,46.6,1,302,[209],66763.116
2024-03-13 10:19:23.023000-04:00,46.65,4,308,[227],138.656
2024-03-13 10:32:55.325000-04:00,46.7,1,308,[232],812.302
2024-03-13 10:39:19.087000-04:00,46.6,1,308,[227],383.762
2024-03-13 10:42:40.438000-04:00,46.66,25,308,[233],201.351
2024-03-13 11:28:18.976000-04:00,46.4,30,313,[209],2738.538
2024-03-13 11:29:55.154000-04:00,46.29,1,308,[232],96.178
2024-03-13 12:05:09.121000-04:00,46.6,297,313,[209],2113.967
2024-03-13 12:09:36.252000-04:00,46.44,1,312,[227],267.131
2024-03-13 12:38:38.945000-04:00,46.54,5,308,[232],1742.693
2024-03-13 13:02:18.328000-04:00,47.11,1,313,[209],1419.383
2024-03-13 13:10:29.301000-04:00,47.24,7,308,[232],490.973
2024-03-13 13:15:39.111000-04:00,47.18,2,300,[232],309.81
2024-03-13 13:26:06.689000-04:00,47.27,1,304,[232],627.578
2024-03-13 13:35:55.555000-04:00,46.92,1,301,[232],588.866
2024-03-13 13:35:55.555000-04:00,47.1,1,308,[232],0.0
2024-03-13 13:35:55.555000-04:00,47.08,1,313,[232],0.0
2024-03-13 13:35:55.556000-04:00,47.1,2,303,[232],0.001
2024-03-13 13:35:55.556000-04:00,47.11,1,309,[232],0.0
2024-03-13 13:35:55.655000-04:00,47.11,1,322,[232],0.099
2024-03-13 13:35:55.655000-04:00,47.11,3,304,[232],0.0
