datetime_et,price,size,exchange,conditions,dt_diff_s
2024-03-11 09:30:05-04:00,510.47,1.0,4,"[10, 37, 41]",
2024-03-11 09:30:07-04:00,510.595,1.0,4,[37],2.0
2024-03-11 09:30:08-04:00,510.47,1.0,4,[37],1.0
2024-03-11 09:30:15-04:00,510.72,100.0,11,,7.0
2024-03-11 09:30:15-04:00,510.72,16.0,11,[37],0.0
2024-03-11 09:30:15-04:00,510.72,84.0,11,"[14, 37, 41]",0.0
2024-03-11 09:30:20-04:00,510.78,100.0,19,,5.0
2024-03-11 09:30:20-04:00,510.78,100.0,11,,0.0
2024-03-11 09:30:20-04:00,510.78,95.0,8,[37],0.0
2024-03-11 09:30:20-04:00,510.78,100.0,8,,0.0
2024-03-11 09:30:20-04:00,510.78,3.0,12,[37],0.0
2024-03-11 09:30:20-04:00,510.78,94.0,19,[37],0.0
2024-03-11 09:30:20-04:00,510.78,97.0,12,[37],0.0
2024-03-11 09:30:20-04:00,510.78,5.0,8,[37],0.0
2024-03-11 09:30:20-04:00,510.78,6.0,19,[37],0.0
2024-03-11 09:30:25-04:00,510.75,100.0,11,,5.0
2024-03-11 09:30:30-04:00,510.77,200.0,11,,5.0
2024-03-11 09:30:30-04:00,510.78,100.0,11,,0.0
2024-03-11 09:30:32-04:00,510.806,100.0,4,,2.0
2024-03-11 09:30:35-04:00,510.83,100.0,11,,3.0
2024-03-11 09:30:35-04:00,510.82,100.0,21,[14],0.0
2024-03-11 09:30:45-04:00,510.84,100.0,11,,10.0
2024-03-11 09:30:49-04:00,510.86,100.0,21,[14],4.0
2024-03-11 09:30:50-04:00,510.906,1.0,4,[37],1.0
2024-03-11 09:31:00-04:00,510.9,53.0,11,[37],10.0
2024-03-11 09:31:00-04:00,510.89,100.0,10,,0.0
2024-03-11 09:31:00-04:00,510.89,100.0,12,,0.0
2024-03-11 09:31:05-04:00,510.84,100.0,11,,5.0
2024-03-11 09:31:05-04:00,510.84,64.0,11,[37],0.0
2024-03-11 09:31:05-04:00,510.84,30.0,11,[37],0.0
